condition,cell_id,mitochondria_id,image_category_type,file_name,file_path
shCtrl,4,1,lamellar_cristae_mask,images_shCtrl_cell_004_0001_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0001_lamellar_cristae_imgs.tiff
shCtrl,3,10,tubular_cristae_mask,images_shCtrl_cell_003_0010_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_003_0010_tubular_cristae_imgs.tiff
shOPA1,1,134,original_EM_image,images_shOPA1_cell_001_0134_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0134_ori_imgs.tiff
shOPA1,2,97,mitochondria_mask,images_shOPA1_cell_002_0097_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0097_mito_imgs.tiff
shOPA1,1,91,mitochondria_mask,images_shOPA1_cell_001_0091_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0091_mito_imgs.tiff
shCtrl,4,45,original_EM_image,images_shCtrl_cell_004_0045_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0045_ori_imgs.tiff
shOPA1,3,2,original_EM_image,images_shOPA1_cell_003_0002_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_003_0002_ori_imgs.tiff
shOPA1,4,12,original_EM_image,images_shOPA1_cell_004_0012_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_004_0012_ori_imgs.tiff
shCtrl,3,3,lamellar_cristae_mask,images_shCtrl_cell_003_0003_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_003_0003_lamellar_cristae_imgs.tiff
shCtrl,4,49,original_EM_image,images_shCtrl_cell_004_0049_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0049_ori_imgs.tiff
shOPA1,2,9,original_EM_image,images_shOPA1_cell_002_0009_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0009_ori_imgs.tiff
shOPA1,2,25,tubular_cristae_mask,images_shOPA1_cell_002_0025_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0025_tubular_cristae_imgs.tiff
shOPA1,1,50,tubular_cristae_mask,images_shOPA1_cell_001_0050_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0050_tubular_cristae_imgs.tiff
shOPA1,3,9,lamellar_cristae_mask,images_shOPA1_cell_003_0009_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_003_0009_lamellar_cristae_imgs.tiff
shOPA1,1,14,lamellar_cristae_mask,images_shOPA1_cell_001_0014_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0014_lamellar_cristae_imgs.tiff
shCtrl,5,2,lamellar_cristae_mask,images_shCtrl_cell_005_0002_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_005_0002_lamellar_cristae_imgs.tiff
shOPA1,1,68,original_EM_image,images_shOPA1_cell_001_0068_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0068_ori_imgs.tiff
shCtrl,4,58,tubular_cristae_mask,images_shCtrl_cell_004_0058_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0058_tubular_cristae_imgs.tiff
shOPA1,2,17,original_EM_image,images_shOPA1_cell_002_0017_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0017_ori_imgs.tiff
shOPA1,1,85,tubular_cristae_mask,images_shOPA1_cell_001_0085_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0085_tubular_cristae_imgs.tiff
shOPA1,2,43,lamellar_cristae_mask,images_shOPA1_cell_002_0043_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0043_lamellar_cristae_imgs.tiff
shOPA1,1,42,lamellar_cristae_mask,images_shOPA1_cell_001_0042_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0042_lamellar_cristae_imgs.tiff
shCtrl,4,13,tubular_cristae_mask,images_shCtrl_cell_004_0013_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0013_tubular_cristae_imgs.tiff
shCtrl,2,9,lamellar_cristae_mask,images_shCtrl_cell_002_0009_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_002_0009_lamellar_cristae_imgs.tiff
shOPA1,1,14,mitochondria_mask,images_shOPA1_cell_001_0014_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0014_mito_imgs.tiff
shOPA1,5,44,tubular_cristae_mask,images_shOPA1_cell_005_0044_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_005_0044_tubular_cristae_imgs.tiff
shOPA1,1,93,original_EM_image,images_shOPA1_cell_001_0093_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0093_ori_imgs.tiff
shOPA1,5,6,mitochondria_mask,images_shOPA1_cell_005_0006_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_005_0006_mito_imgs.tiff
shOPA1,2,13,mitochondria_mask,images_shOPA1_cell_002_0013_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0013_mito_imgs.tiff
shOPA1,3,5,mitochondria_mask,images_shOPA1_cell_003_0005_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_003_0005_mito_imgs.tiff
shOPA1,2,68,lamellar_cristae_mask,images_shOPA1_cell_002_0068_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0068_lamellar_cristae_imgs.tiff
shCtrl,1,22,mitochondria_mask,images_shCtrl_cell_001_0022_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_001_0022_mito_imgs.tiff
shOPA1,1,106,mitochondria_mask,images_shOPA1_cell_001_0106_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0106_mito_imgs.tiff
shCtrl,1,20,lamellar_cristae_mask,images_shCtrl_cell_001_0020_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_001_0020_lamellar_cristae_imgs.tiff
shOPA1,3,8,mitochondria_mask,images_shOPA1_cell_003_0008_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_003_0008_mito_imgs.tiff
shCtrl,4,14,tubular_cristae_mask,images_shCtrl_cell_004_0014_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0014_tubular_cristae_imgs.tiff
shCtrl,4,11,original_EM_image,images_shCtrl_cell_004_0011_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0011_ori_imgs.tiff
shOPA1,1,49,lamellar_cristae_mask,images_shOPA1_cell_001_0049_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0049_lamellar_cristae_imgs.tiff
shCtrl,3,1,lamellar_cristae_mask,images_shCtrl_cell_003_0001_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_003_0001_lamellar_cristae_imgs.tiff
shOPA1,3,8,tubular_cristae_mask,images_shOPA1_cell_003_0008_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_003_0008_tubular_cristae_imgs.tiff
shOPA1,2,93,tubular_cristae_mask,images_shOPA1_cell_002_0093_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0093_tubular_cristae_imgs.tiff
shCtrl,1,17,mitochondria_mask,images_shCtrl_cell_001_0017_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_001_0017_mito_imgs.tiff
shCtrl,5,4,tubular_cristae_mask,images_shCtrl_cell_005_0004_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_005_0004_tubular_cristae_imgs.tiff
shCtrl,4,47,lamellar_cristae_mask,images_shCtrl_cell_004_0047_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0047_lamellar_cristae_imgs.tiff
shCtrl,5,8,mitochondria_mask,images_shCtrl_cell_005_0008_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_005_0008_mito_imgs.tiff
shOPA1,2,44,mitochondria_mask,images_shOPA1_cell_002_0044_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0044_mito_imgs.tiff
shOPA1,1,101,tubular_cristae_mask,images_shOPA1_cell_001_0101_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0101_tubular_cristae_imgs.tiff
shOPA1,3,10,tubular_cristae_mask,images_shOPA1_cell_003_0010_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_003_0010_tubular_cristae_imgs.tiff
shOPA1,1,29,lamellar_cristae_mask,images_shOPA1_cell_001_0029_lamellar_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0029_lamellar_cristae_imgs.tiff
shCtrl,4,9,original_EM_image,images_shCtrl_cell_004_0009_ori_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0009_ori_imgs.tiff
shCtrl,1,24,mitochondria_mask,images_shCtrl_cell_001_0024_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_001_0024_mito_imgs.tiff
shOPA1,1,121,mitochondria_mask,images_shOPA1_cell_001_0121_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0121_mito_imgs.tiff
shCtrl,4,26,mitochondria_mask,images_shCtrl_cell_004_0026_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shCtrl_cell_004_0026_mito_imgs.tiff
shOPA1,2,69,mitochondria_mask,images_shOPA1_cell_002_0069_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_002_0069_mito_imgs.tiff
shOPA1,1,129,tubular_cristae_mask,images_shOPA1_cell_001_0129_tubular_cristae_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_001_0129_tubular_cristae_imgs.tiff
shOPA1,5,39,mitochondria_mask,images_shOPA1_cell_005_0039_mito_imgs,/home/lippincm/Documents/4TB/data/ultrastrucural_mitochonria_morphology_analysis/data/raw_images/images_shOPA1_cell_005_0039_mito_imgs.tiff
